location,floor,floor_count,rooms_count,square_meter_price,price,area,distance,monthly_payment
"Одинцово, 8-й м-н, улица Маковского, 28",5,19,3,179968,11500000,63.9,1.71,191668.0
"Подольск, Ново-Сырово м-н, Сыровская улица, 25",1,5,3,119834,7250000,60.5,1.41,120834.0
"Наро-Фоминский городской округ, Апрелевка, улица Дубки, 9",10,10,2,181518,11000000,60.6,5.536184325362192,183334.0
"Люберцы, улица Строителей, 4а",4,5,2,138913,6390000,46.0,2.34,106500.0
"Истра городской округ, Дедовск, Больничная улица, 8",1,5,3,135203,6990000,51.7,5.536184325362192,116500.0
"Химки городской округ, д. Брёхово, Митино Дальнее м-н, 10",2,4,1,131205,3700000,28.2,6.52,61667.0
"Фрязино, 2-й м-н, проспект Мира, 18а",6,9,1,149855,5200000,34.7,5.536184325362192,86667.0
"Щёлково, Заречный м-н, улица Космодемьянская, 19",1,9,2,106261,5600000,52.7,5.536184325362192,93334.0
"Щёлково, улица Шмидта, 18",2,9,2,151162,6500000,43.0,5.536184325362192,108334.0
"Красногорск городской округ, д. Путилково, Мортонград Путилково м-н, Спасо-Тушинский бульвар, 2",3,25,2,198958,9550000,48.0,5.45,159167.0
"Истра городской округ, д. Красный Посёлок, САМПО, улица Героя Советского Союза Фадеева А.И., 19",2,3,3,221666,13300000,60.0,14.42,221668.0
"Мытищи городской округ, пос. Нагорное, Полковника Романова улица, 11",3,17,1,202500,7290000,36.0,2.95,121500.0
"Ивантеевка, Заречная слобода, улица Бережок, 14",9,22,1,145584,6100000,41.9,5.536184325362192,101667.0
"Раменское, Крымская улица, 7",4,17,2,185714,11700000,63.0,2.83,195001.0
"Мытищи, 15-й м-н, улица Юбилейная, 24а",17,17,1,202739,7400000,36.5,4.93,123334.0
"Щёлково, Заречный м-н, Комсомольская улица, 10",9,9,3,128333,7700000,60.0,5.536184325362192,128334.0
"Балашиха, Железнодорожный м-н, Лесопарковая улица, 16",11,17,1,165876,7000000,42.2,1.21,118003.0
"Балашиха, Ольгино м-н, улица Граничная, 32",13,17,2,168855,9000000,53.3,1.45,150001.0
"Истра городской округ, д. Чёрная, Садовая улица, 4 к1",2,4,2,145833,8750000,60.0,5.536184325362192,108334.0
"Красногорск, Павшино м-н, Авангардная улица, 4",10,44,1,276381,11000000,39.8,1.29,108334.0
"Черноголовка, Заречье м-н, улица Береговая, 20а",6,7,1,147727,6500000,44.0,5.536184325362192,108334.0
"Красногорск городской округ, д. Путилково, Мортонград Путилково м-н, Спасо-Тушинский бульвар, 2",20,25,1,209756,8600000,41.0,5.45,143334.0
"Балашиха, Саввино м-н, улица 1 Мая, 11",2,10,3,124615,8100000,65.0,2.98,135000.0
"Чехов, Московская улица, 79",6,9,3,136923,8900000,65.0,5.536184325362192,148334.0
"Люберцы, улица Черёмухина, 8 к1",2,14,2,183333,9900000,54.0,1.76,165001.0
"Долгопрудный, Старый город м-н, улица Циолковского, 11",2,5,1,203225,6300000,31.0,0.81,105000.0
"Люберцы городской округ, рп. Томилино, улица Гоголя, 45",7,9,3,125000,7500000,60.0,1.97,125000.0
"Химки, Левобережный м-н, Совхозная улица, 8",8,25,2,194349,11350000,58.4,2.09,189168.0
"Воскресенск городской округ, Белоозёрский, улица 60 лет Октября, 2",5,5,2,95769,4980000,52.0,5.536184325362192,83000.0
"Долгопрудный, Старый город м-н, Дирижабельная улица, 22/15",3,5,1,192182,5900000,30.7,1.22,98334.0
"Сергиев Посад, проспект Красной Армии, 7",2,9,2,145652,6700000,46.0,5.536184325362192,111667.0
"Красногорск, Тёплый бетон м-н, Школьная улица, 12",9,9,2,177419,7700000,43.4,1.28,128334.0
"Королёв, улица Мичурина, 7Б",8,9,3,121666,7300000,60.0,13.74,121667.0
"Лыткарино, 1-й м-н, Набережная улица, 20в",3,5,2,126728,5500000,43.4,11.23,91667.0
"Ногинск, улица Советской Конституции, 42д",1,5,1,97719,3000000,30.7,5.536184325362192,50000.0
"Орехово-Зуевский городской округ, Дрезна, Коммунистическая улица, 8",2,5,1,98333,2950000,30.0,5.536184325362192,49167.0
"Щёлково, Потаповский м-н, 1 к2",13,17,1,154040,6100000,39.6,5.536184325362192,101667.0
"Наро-Фоминский городской округ, Апрелевка, Берёзовая аллея, 5 к1",3,5,2,157549,7200000,45.7,5.536184325362192,120000.0
"Люберцы, Октябрьский проспект, 145",6,10,2,192955,12600000,65.3,5.536184325362192,210001.0
"Коломна, Колычёво м-н, улица Девичье поле, 27",1,9,2,106976,4600000,43.0,5.536184325362192,76667.0
"Раменский городской округ, пос. станции Бронницы, Лесная улица, 39",5,5,4,75364,4650000,61.7,11.63,77500.0
"Лобня, Южный м-н, Силикатная улица, 4 к1",2,9,2,160714,7199999,44.8,1.47,120000.0
"Ленинский городской округ, пос. Развилка, Римский проезд, 13",12,16,2,180467,8499999,47.1,3.8,141667.0
"Озёры, микрорайон им. Маршала Катукова, 32",4,5,2,100663,4550000,45.2,5.536184325362192,75833.0
"Котельники, Южный м-н, 11",3,17,2,168696,10999000,65.2,4.0,183318.0
"Котельники, Опытное поле м-н, Сосновая улица, 1 к1",19,30,3,222307,14450000,65.0,0.53,240835.0
"Лосино-Петровский городской округ, рп. Свердловский, Лукино-Варино, Берёзовая улица, 4",14,16,1,109947,4200000,38.2,5.536184325362192,70000.0
"Химки, Подрезково м-н, Комсомольская улица, 16 к1 / Школьная улица, 3 ст2",6,17,1,257894,9800000,38.0,1.18,163334.0
"Красногорск, Брусчатый м-н, улица Народного Ополчения, 2Б к2",9,17,1,254261,8950000,35.2,2.96,149167.0
"Люберцы, Зенино ЖК Самолёт м-н, улица Барыкина, 5 к1",4,17,2,153846,10000000,65.0,2.48,166667.0
"Домодедово городской округ, с. Домодедово, Высотная улица, 1",17,17,1,161330,6550000,40.6,5.536184325362192,109167.0
"Наро-Фоминск, улица Маршала Жукова, 16",5,14,2,159332,10500000,65.9,5.536184325362192,175001.0
"Ногинск, Глухово м-н, улица Ремесленная, 5",4,5,2,80000,3600000,45.0,5.536184325362192,60000.0
"Можайск, улица Мира, 16",8,17,3,200000,18000000,90.0,5.536184325362192,300002.0
"Подольск, Кутузово м-н, улица Циолковского, 10/6",8,9,3,159574,10500000,65.8,4.04,175001.0
